Time_sec,DateTime,Batt_V,Temp_C,DO_mgL,Q
1623680820,6/13/1951 14:27,3.54,25.006,0.05,0.956
1623681420,6/13/1951 14:37,3.54,25.048,0.049,0.956
1623682020,6/13/1951 14:47,3.54,25.039,0.049,0.956
1623682620,6/13/1951 14:57,3.54,25.073,0.049,0.956
1623683220,6/13/1951 15:07,3.54,25.124,0.053,0.956
1623683820,6/13/1951 15:17,3.54,25.174,0.048,0.956
1623684420,6/13/1951 15:27,3.54,28.009,7.921,0.977
1623852420,6/15/1951 14:07,3.54,26.464,3.246,0.98
1623853020,6/15/1951 14:17,3.54,26.43,3.376,0.98
1623853620,6/15/1951 14:27,3.54,26.49,3.467,0.98
1623854220,6/15/1951 14:37,3.54,27.21,8.005,0.975
1623854820,6/15/1951 14:47,3.54,28.137,7.866,0.975
1623855420,6/15/1951 14:57,3.54,28.111,7.865,0.975
1623856020,6/15/1951 15:07,3.54,26.557,0.311,0.962
1623856620,6/15/1951 15:17,3.54,26.177,0.129,0.958
1623857220,6/15/1951 15:27,3.54,26.109,0.094,0.957
1623857820,6/15/1951 15:37,3.54,26.118,0.07,0.956
1623858420,6/15/1951 15:47,3.54,27.252,7.962,0.976
1623859020,6/15/1951 15:57,3.54,27.6,7.906,0.975
1623859620,6/15/1951 16:07,3.54,27.686,7.879,0.974
1623860220,6/15/1951 16:17,3.54,27.558,7.897,0.974
1623860820,6/15/1951 16:27,3.53,27.43,7.905,0.974
1623861420,6/15/1951 16:37,3.54,27.363,7.927,0.975
1623862020,6/15/1951 16:47,3.54,27.38,7.917,0.975
1623862620,6/15/1951 16:57,3.54,27.626,7.882,0.975
1623863220,6/15/1951 17:07,3.54,27.822,7.84,0.974
1623863820,6/15/1951 17:17,3.54,27.958,7.826,0.975
1623864420,6/15/1951 17:27,3.54,28.137,7.831,0.975
1623865020,6/15/1951 17:37,3.53,28.487,7.782,0.975
1623865620,6/15/1951 17:47,3.54,29.181,7.7,0.975
1623866220,6/15/1951 17:57,3.53,29.412,7.633,0.975
1623866820,6/15/1951 18:07,3.54,29.155,7.648,0.974
1623867420,6/15/1951 18:17,3.54,28.803,7.722,0.974
1623868020,6/15/1951 18:27,3.53,28.555,7.748,0.974
1623868620,6/15/1951 18:37,3.54,28.333,7.733,0.974
1623869220,6/15/1951 18:47,3.54,28.154,7.793,0.975
